ID,present,WC_alt,WC_bio1,WC_bio2,WC_bio6,ER_tri,ER_topoWet,lon,lat
1,1,168,25.399999618530273,8.899999618530273,18.299999237060547,28.940000534057617,11.140000343322754,107.449161,11.500629
2,1,495,24,9.899999618530273,16.200000762939453,31.389999389648438,10.680000305175781,107.01908,12.33971
3,1,405,24.399999618530273,9.800000190734863,16.799999237060547,33.2400016784668,10.420000076293945,107.07902,12.33022
4,1,269,25.100000381469727,9.600000381469727,17.600000381469727,27.329999923706055,10.890000343322754,107.01307,12.14559
5,1,495,24,9.899999618530273,16.200000762939453,31.389999389648438,10.680000305175781,107.01407,12.33724
6,1,195,25.200000762939453,8.899999618530273,18.100000381469727,49.90999984741211,9.960000038146973,107.527353,11.520963
7,1,154,25.399999618530273,8.899999618530273,18.5,12.6899995803833,11.859999656677246,107.362518,11.474642
8,1,348,24.799999237060547,9.800000190734863,17.100000381469727,28.209999084472656,10.779999732971191,106.95237,12.393980000000001
9,1,495,24,9.899999618530273,16.200000762939453,31.389999389648438,10.680000305175781,107.01852,12.40161
10,1,466,24.200000762939453,9.899999618530273,16.299999237060547,27.790000915527344,11.020000457763672,107.01698,12.4631
11,1,269,25.100000381469727,9.600000381469727,17.600000381469727,27.329999923706055,10.890000343322754,107.01706,12.14658
12,1,508,23.799999237060547,9.800000190734863,16.100000381469727,41.79999923706055,10.579999923706055,107.14526,12.27688
13,1,405,24.399999618530273,9.800000190734863,16.799999237060547,33.2400016784668,10.420000076293945,107.07717,12.33044
14,1,508,23.799999237060547,9.800000190734863,16.100000381469727,41.79999923706055,10.579999923706055,107.141,12.2692
15,1,644,23.100000381469727,10,15.300000190734863,32.689998626708984,10.930000305175781,107.08639,12.3983
16,1,348,24.799999237060547,9.800000190734863,17.100000381469727,28.209999084472656,10.779999732971191,106.96033,12.39288
17,1,495,24,9.899999618530273,16.200000762939453,31.389999389648438,10.680000305175781,107.01607,12.40258
18,1,205,25.700000762939453,9.699999809265137,18,14.15999984741211,11.550000190734863,106.88969,12.45919
19,1,319,25,9.800000190734863,17.299999237060547,24.530000686645508,11.0600004196167,106.95235,12.46268
20,1,233,25.5,9.699999809265137,17.799999237060547,19.170000076293945,11.34000015258789,106.89824,12.39727
21,1,123,26.200000762939453,9.600000381469727,18.600000381469727,6.610000133514404,12.510000228881836,106.71103,12.39789
22,1,269,25.100000381469727,9.600000381469727,17.600000381469727,27.329999923706055,10.890000343322754,107.02209,12.149
23,1,243,25.399999618530273,9.699999809265137,17.799999237060547,26.959999084472656,10.9399995803833,106.95874,12.3318
24,1,177,25.799999237060547,9.600000381469727,18.200000762939453,16.049999237060547,11.539999961853027,106.89615,12.27939
25,1,205,25.700000762939453,9.699999809265137,18,14.15999984741211,11.550000190734863,106.83452,12.46434
26,1,156,26,9.600000381469727,18.299999237060547,9.289999961853027,12.210000038146973,106.76474,12.45797
27,1,243,25.399999618530273,9.699999809265137,17.799999237060547,26.959999084472656,10.9399995803833,106.95174,12.27582
